City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Esperance,AU,-33.8667,121.9,58.84,73,0,11.34,clear sky
1,Rikitea,PF,-23.1203,-134.9692,78.12,73,100,12.66,overcast clouds
2,Fortuna,US,40.5982,-124.1573,44.94,58,75,2.1,broken clouds
3,Tuktoyaktuk,CA,69.4541,-133.0374,-34.6,67,40,5.75,scattered clouds
4,Cayenne,GF,4.9333,-52.3333,82.44,85,75,13.8,broken clouds
5,Castro,BR,-24.7911,-50.0119,82.29,47,6,2.91,clear sky
6,Souillac,MU,-20.5167,57.5167,81.36,83,40,10.36,scattered clouds
7,Hilo,US,19.7297,-155.09,73.11,81,20,6.91,few clouds
8,Cape Town,ZA,-33.9258,18.4232,70.27,79,20,20.71,few clouds
9,Yulara,AU,-25.2406,130.9889,71.44,30,1,8.05,clear sky
10,Hermanus,ZA,-34.4187,19.2345,71.91,84,16,15.86,few clouds
11,Jiaocheng,CN,24.6774,116.1389,49.01,96,99,4.29,overcast clouds
12,Sehithwa,BW,-20.4667,22.7167,75.92,53,42,2.46,scattered clouds
13,Upernavik,GL,72.7868,-56.1549,-6.79,96,100,14.79,overcast clouds
14,Albany,US,42.6001,-73.9662,26.55,57,100,1.01,overcast clouds
15,Tynda,RU,55.1667,124.7167,-18.42,97,91,2.53,overcast clouds
16,Sao Pedro Do Sul,BR,-29.6206,-54.1789,79.45,18,0,10.42,clear sky
17,Torbay,CA,47.6666,-52.7314,45.37,67,100,18.41,overcast clouds
18,Saltillo,MX,25.4167,-101.0,60.17,66,40,0.0,scattered clouds
19,Punta Arenas,CL,-53.15,-70.9167,51.91,50,20,46.04,few clouds
20,Lucapa,AO,-8.4192,20.7447,66.27,98,100,2.98,light rain
21,Ushuaia,AR,-54.8,-68.3,39.65,91,100,30.62,light rain
22,Grindavik,IS,63.8424,-22.4338,28.87,93,75,6.91,light snow
23,Tiksi,RU,71.6872,128.8694,-13.88,94,86,11.52,overcast clouds
24,San Miguel,SV,13.4833,-88.1833,96.4,38,20,6.91,few clouds
25,Hobart,AU,-42.8794,147.3294,62.46,81,75,17.27,broken clouds
26,Mattru,SL,7.6244,-11.8332,82.31,64,24,7.83,few clouds
27,Walvis Bay,NA,-22.9575,14.5053,76.15,73,1,8.05,light rain
28,Bluff,NZ,-46.6,168.3333,42.8,89,10,6.58,clear sky
29,Nome,US,64.5011,-165.4064,-12.93,64,0,0.0,clear sky
30,Georgetown,MY,5.4112,100.3354,80.53,88,40,8.05,scattered clouds
31,Ilulissat,GL,69.2167,-51.1,23.02,50,75,14.97,broken clouds
32,Lasa,IT,46.6166,10.7002,31.46,61,0,2.13,clear sky
33,Baoning,CN,25.3378,110.026,40.86,100,75,2.24,mist
34,Mojo,ET,8.6,39.1167,66.47,47,73,11.14,broken clouds
35,Mataura,NZ,-46.1927,168.8643,41.49,99,29,2.39,scattered clouds
36,Boa Vista,BR,2.8197,-60.6733,89.58,45,75,16.11,broken clouds
37,Chokurdakh,RU,70.6333,147.9167,-3.62,97,100,10.47,overcast clouds
38,Korla,CN,41.7597,86.1469,29.73,45,0,4.72,clear sky
39,Kapaa,US,22.0752,-159.319,71.92,83,40,13.8,light rain
40,Yarim,YE,14.298,44.3779,53.83,57,7,1.16,clear sky
41,Ponta Do Sol,PT,32.6667,-17.1,66.06,62,92,2.68,overcast clouds
42,Busselton,AU,-33.65,115.3333,64.04,73,0,12.03,clear sky
43,Atuona,PF,-9.8,-139.0333,77.58,78,50,15.26,light rain
44,Kaohsiung,TW,22.6163,120.3133,66.15,86,75,10.36,haze
45,Hegang,CN,47.4,130.3667,-12.71,99,21,4.23,few clouds
